Pattern: TAAS CUCM BABA EDGE(200.0.0.x)


10.11.1.2 10.11.100.8 10.11.1.4 200.0.0.11 
10.12.1.2 10.12.100.8 10.12.1.4 200.0.0.12
10.21.1.2 10.21.100.8 10.21.1.4 200.0.0.21
10.22.1.2 10.22.100.8 10.22.1.4 200.0.0.22
10.31.1.2 10.31.100.8 10.31.1.4 200.0.0.31
10.32.1.2 10.32.100.8 10.32.1.4 200.0.0.32
10.41.1.2 10.41.100.8 10.41.1.4 200.0.0.41
10.42.1.2 10.42.100.8 10.42.1.4 200.0.0.42
10.51.1.2 10.51.100.8 10.51.1.4 200.0.0.51
10.52.1.2 10.52.100.8 10.52.1.4 200.0.0.52
10.61.1.2 10.61.100.8 10.61.1.4 200.0.0.61
10.62.1.2 10.62.100.8 10.62.1.4 200.0.0.62
10.71.1.2 10.71.100.8 10.71.1.4 200.0.0.71
10.72.1.2 10.72.100.8 10.72.1.4 200.0.0.72
10.81.1.2 10.81.100.8 10.81.1.4 200.0.0.81
10.82.1.2 10.82.100.8 10.82.1.4 200.0.0.82
10.91.1.2 10.91.100.8 10.91.1.4 200.0.0.91
10.92.1.2 10.92.100.8 10.92.1.4 200.0.0.92
